id,job,name
19995,Editor,Stephen E. Rivkin
19995,Sound Designer,Christopher Boyes
19995,Casting,Mali Finn
19995,Director,James Cameron
19995,Writer,James Cameron
19995,Set Designer,Richard F. Mays
19995,Costume Design,Mayes C. Rubeo
19995,Director of Photography,Mauro Fiore
19995,Hairstylist,Linda DeVetta
19995,Visual Effects Editor,Steve R. Moore
19995,Set Designer,Karl J. Martin
19995,Dialect Coach,Carla Meyer
19995,Art Direction,Jill Cormack
19995,Motion Capture Artist,Terry Notary
19995,Production Design,Robert Stromberg
19995,Steadicam Operator,Roberto De Angelis
19995,Makeup Department Head,Mike Smithson
19995,Visual Effects Producer,Alain Lalanne
19995,Post Production Supervisor,Janace Tashjian
19995,Visual Effects Supervisor,Stephen Rosenbaum
19995,Visual Effects Supervisor,Jonathan Fawkner
19995,Costume Supervisor,Anthony Almaraz
19995,Costume Supervisor,Beth Koenigsberg
19995,Transportation Coordinator,Denny Caira
19995,Set Designer,Joseph Hiura
19995,Set Designer,Robert Andrew Johnson
19995,Construction Coordinator,John Villarino
19995,Assistant Art Director,Jeffrey Wisniewski
19995,Supervising Sound Editor,Gwendolyn Yates Whittle
19995,Sound Re-Recording Mixer,William Stein
19995,Sound Effects Editor,Tim Nielsen
19995,CG Supervisor,Michael Mulholland
19995,Visual Effects Supervisor,Edson Williams
19995,Production Supervisor,Jennifer Teves
19995,Special Effects Coordinator,Iain Hutton
19995,Visual Effects Producer,Jenny Foster
19995,Visual Effects Supervisor,Anthony 'Max' Ivins
19995,Visual Effects Supervisor,Eric Saindon
19995,Visual Effects Supervisor,Guy Williams
19995,Best Boy Electric,Giles Coburn
19995,Animation Director,Jeremy Hollobon
19995,Animation Director,Taisuke Tanimura
19995,Digital Intermediate,Marvin Hall
19995,CG Supervisor,Andrew Morley
19995,CG Supervisor,Brad Alexander
19995,CG Supervisor,Simon Clutterbuck
19995,CG Supervisor,Graeme Demmocks
19995,CG Supervisor,Mitch Gates
19995,CG Supervisor,Andy Lomas
19995,CG Supervisor,Sebastian Marino
19995,CG Supervisor,Matthias Menz
19995,CG Supervisor,Philippe Rebours
285,Director,Gore Verbinski
285,Producer,Jerry Bruckheimer
285,Editor,Stephen E. Rivkin
285,Original Music Composer,Hans Zimmer
285,Executive Producer,Mike Stenson
285,Producer,Eric McLeod
285,Casting,Denise Chamian
285,Production Design,Rick Heinrichs
285,Casting,Priscilla John
285,Costume Design,Liz Dann
285,Makeup Department Head,Ve Neill
285,Special Effects Coordinator,Allen Hall
285,Music Editor,Barbara McDermott
206647,Director,Sam Mendes
206647,Screenplay,John Logan
206647,Production Design,Dennis Gassner
206647,Characters,Ian Fleming
206647,Costume Design,Jany Temime
206647,Producer,Barbara Broccoli
206647,Sound Designer,Christopher Assells
206647,Screenplay,Robert Wade
206647,Executive Producer,Callum McDougall
206647,Camera Operator,Lorenzo Senatore
206647,Orchestrator,J.A.C. Redford
